Customer_ID,Customer_Name,Gender,Age,City,State,Signup_Date
1,Customer_0001,Female,33,Ahmedabad,Gujarat,2025-01-29
2,Customer_0002,Male,52,New Delhi,Delhi,2025-01-24
3,Customer_0003,Male,19,Vadodara,Gujarat,2024-03-08
4,Customer_0004,Male,53,Ahmedabad,Gujarat,2023-08-27
5,Customer_0005,Female,55,New Delhi,Delhi,2023-08-14
6,Customer_0006,Male,45,Chennai,Tamil Nadu,2025-02-16
7,Customer_0007,Male,39,Warangal,Telangana,2023-06-09
8,Customer_0008,Male,40,Ahmedabad,Gujarat,2024-01-25
9,Customer_0009,Male,47,Warangal,Telangana,2025-04-06
10,Customer_0010,Male,53,Lucknow,Uttar Pradesh,2024-01-23
11,Customer_0011,Female,54,Madurai,Tamil Nadu,2024-09-25
12,Customer_0012,Male,36,New Delhi,Delhi,2023-02-16
13,Customer_0013,Male,42,Ahmedabad,Gujarat,2025-06-06
14,Customer_0014,Female,28,Coimbatore,Tamil Nadu,2024-10-12
15,Customer_0015,Female,59,Warangal,Telangana,2023-08-03
16,Customer_0016,Male,52,Vadodara,Gujarat,2024-10-12
17,Customer_0017,Female,35,New Delhi,Delhi,2024-04-18
18,Customer_0018,Female,21,Lucknow,Uttar Pradesh,2024-12-02
19,Customer_0019,Female,43,New Delhi,Delhi,2025-04-04
20,Customer_0020,Female,31,Chennai,Tamil Nadu,2023-08-05
21,Customer_0021,Female,27,Udaipur,Rajasthan,2024-10-20
22,Customer_0022,Female,55,Chennai,Tamil Nadu,2023-09-10
23,Customer_0023,Male,26,Siliguri,West Bengal,2024-01-06
24,Customer_0024,Male,25,Noida,Uttar Pradesh,2023-04-04
25,Customer_0025,Female,56,Mangaluru,Karnataka,2023-06-13
26,Customer_0026,Female,51,Surat,Gujarat,2024-01-26
27,Customer_0027,Male,25,Madurai,Tamil Nadu,2025-05-31
28,Customer_0028,Female,25,Noida,Uttar Pradesh,2025-02-26
29,Customer_0029,Female,18,Coimbatore,Tamil Nadu,2023-06-11
30,Customer_0030,Male,50,Madurai,Tamil Nadu,2025-02-19
31,Customer_0031,Male,27,Vadodara,Gujarat,2023-11-02
32,Customer_0032,Male,56,Hyderabad,Telangana,2024-07-06
33,Customer_0033,Male,41,Warangal,Telangana,2023-01-20
34,Customer_0034,Male,54,Chennai,Tamil Nadu,2023-03-01
35,Customer_0035,Female,22,Ahmedabad,Gujarat,2025-01-19
36,Customer_0036,Female,53,Lucknow,Uttar Pradesh,2023-05-12
37,Customer_0037,Female,31,Mysuru,Karnataka,2024-06-24
38,Customer_0038,Male,37,Kanpur,Uttar Pradesh,2024-12-07
39,Customer_0039,Female,25,Siliguri,West Bengal,2024-03-24
40,Customer_0040,Female,19,New Delhi,Delhi,2023-03-07
41,Customer_0041,Male,18,Kochi,Kerala,2024-08-25
42,Customer_0042,Male,32,Vadodara,Gujarat,2024-10-08
43,Customer_0043,Female,22,Ahmedabad,Gujarat,2025-05-30
44,Customer_0044,Female,31,Lucknow,Uttar Pradesh,2023-10-13
45,Customer_0045,Female,33,Lucknow,Uttar Pradesh,2025-01-10
46,Customer_0046,Male,24,Udaipur,Rajasthan,2023-07-14
47,Customer_0047,Female,47,Siliguri,West Bengal,2024-03-09
