Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount
1,1,21,3,17242.26,0.05
2,2,126,1,1621.66,0.1
3,2,138,2,49356.42,0.2
4,3,6,3,21794.83,0.2
5,4,185,3,25661.22,0.05
6,4,147,1,31001.46,0.15
7,5,13,2,15039.84,0.1
8,6,109,2,36362.87,0.2
9,7,96,1,14581.98,0.1
10,8,138,1,49356.42,0.15
11,8,193,3,12185.72,0.0
12,9,172,1,17664.71,0.05
13,9,82,3,30777.11,0.15
14,10,191,1,25668.57,0.0
15,11,150,1,27289.27,0.05
16,11,21,3,17242.26,0.05
17,12,122,3,11268.33,0.1
18,12,79,2,18307.97,0.0
19,12,35,1,29269.09,0.15
20,13,16,3,23743.03,0.2
21,14,137,1,13836.35,0.2
22,15,11,2,26704.67,0.0
23,15,73,1,49942.04,0.1
24,16,119,1,16619.7,0.15
25,17,88,3,12091.36,0.2
26,18,98,2,3308.53,0.05
27,19,21,2,17242.26,0.2
28,19,56,3,44872.49,0.2
29,19,177,2,4661.0,0.2
30,20,91,1,19812.47,0.2
31,21,2,3,40309.91,0.1
32,22,193,2,12185.72,0.0
33,23,75,2,40963.99,0.05
34,24,86,2,8655.62,0.15
35,25,125,3,6198.59,0.05
36,26,30,1,8833.65,0.15
37,27,101,3,28858.95,0.2
38,28,35,3,29269.09,0.05
39,29,47,2,44066.13,0.0
40,30,140,3,30777.61,0.15
41,30,153,2,42981.95,0.0
42,30,108,2,50140.67,0.05
43,31,134,1,20156.16,0.15
44,32,66,3,47190.57,0.15
45,32,18,1,5102.7,0.0
46,33,160,2,23328.29,0.05
47,33,179,2,36065.25,0.2
48,33,119,3,16619.7,0.1
49,34,68,1,10784.99,0.1
50,35,10,3,18200.22,0.2
51,35,49,1,26129.96,0.05
52,35,172,2,17664.71,0.05
53,36,37,2,29778.23,0.15
54,37,35,3,29269.09,0.0
55,38,67,3,21572.02,0.1
56,39,136,3,42539.86,0.05
57,40,55,3,28833.78,0.15
58,40,6,3,21794.83,0.0
59,41,103,2,41454.92,0.2
60,42,178,3,2898.19,0.05
61,42,1,1,40696.64,0.2
62,43,72,3,19963.16,0.2
63,44,70,2,18353.81,0.1
64,45,181,1,40139.53,0.1
65,46,117,1,36095.84,0.15
66,47,69,1,9019.63,0.0
67,48,109,3,36362.87,0.0
68,48,142,1,19228.31,0.15
69,49,70,3,18353.81,0.0
70,49,199,1,7411.65,0.1
71,50,152,3,2563.86,0.0
72,50,129,3,48499.86,0.15
73,50,195,1,24840.62,0.2
74,51,167,3,39773.19,0.1
75,52,57,1,46927.83,0.15
76,52,188,2,43924.5,0.15
77,52,60,2,10418.46,0.0
78,53,25,3,38481.68,0.0
79,53,60,3,10418.46,0.0
80,54,29,1,30681.71,0.2
81,54,90,3,37188.84,0.15
82,55,48,2,18097.56,0.05
83,55,140,2,30777.61,0.1
84,55,33,1,12098.86,0.0
85,56,18,1,5102.7,0.0
86,56,168,3,2470.72,0.0
87,56,44,3,30820.13,0.1
88,57,35,1,29269.09,0.1
89,58,17,1,30784.12,0.15
90,58,6,3,21794.83,0.2
91,59,70,3,18353.81,0.05
92,59,26,1,5340.38,0.1
93,60,200,1,20299.02,0.2
94,61,16,2,23743.03,0.2
95,61,160,2,23328.29,0.0
96,62,37,3,29778.23,0.15
97,62,193,1,12185.72,0.2
98,62,71,3,45760.82,0.2
99,63,191,2,25668.57,0.1
100,64,148,1,21684.4,0.05
101,64,105,2,17777.23,0.0
102,64,53,2,50251.89,0.1
103,65,48,1,18097.56,0.1
104,65,75,3,40963.99,0.05
105,66,26,1,5340.38,0.2
106,67,14,1,10524.66,0.1
107,67,10,2,18200.22,0.2
108,68,177,2,4661.0,0.05
109,69,4,1,41885.03,0.2
110,70,178,3,2898.19,0.05
111,71,39,1,11770.94,0.0
112,72,200,2,20299.02,0.15
113,72,61,3,20943.29,0.05
114,73,93,1,34455.75,0.15
115,74,150,2,27289.27,0.15
116,74,8,2,43782.92,0.2
117,74,3,2,23359.03,0.0
118,75,127,1,40465.67,0.05
119,76,145,1,12372.58,0.0
120,77,56,2,44872.49,0.0
121,77,158,1,17342.07,0.0
122,78,44,1,30820.13,0.0
123,78,42,1,35391.16,0.2
124,79,145,3,12372.58,0.2
125,79,11,2,26704.67,0.0
126,80,127,1,40465.67,0.0
127,80,37,1,29778.23,0.1
128,81,182,2,29776.4,0.15
129,82,127,3,40465.67,0.05
130,82,29,3,30681.71,0.0
131,83,2,2,40309.91,0.1
132,84,105,1,17777.23,0.05
133,85,195,2,24840.62,0.05
134,85,78,1,22980.54,0.1
135,86,166,2,23654.57,0.0
136,87,47,1,44066.13,0.2
137,88,22,1,36885.18,0.0
138,89,79,2,18307.97,0.15
139,89,190,1,25334.25,0.15
140,90,54,1,11768.03,0.15
141,90,173,3,26855.55,0.1
142,91,58,1,4945.79,0.15
143,92,167,2,39773.19,0.2
144,93,185,1,25661.22,0.05
145,93,143,2,33742.3,0.1
146,94,92,3,40516.93,0.1
147,94,150,1,27289.27,0.15
148,95,28,1,18136.06,0.2
149,96,82,3,30777.11,0.0
150,96,138,1,49356.42,0.15
151,97,104,3,31127.57,0.1
152,98,138,2,49356.42,0.15
153,98,106,3,36075.95,0.15
154,99,132,2,30606.19,0.05
155,99,173,1,26855.55,0.15
156,100,16,1,23743.03,0.2
157,101,80,2,19270.14,0.1
158,102,192,1,28177.04,0.15
159,103,143,3,33742.3,0.0
160,103,23,3,26378.92,0.0
161,104,159,3,3070.84,0.05
162,105,77,1,6283.7,0.0
163,106,189,3,24813.39,0.2
164,107,197,3,26851.86,0.05
165,107,52,1,15906.74,0.1
166,107,101,1,28858.95,0.1
167,108,131,2,30688.69,0.1
168,109,11,3,26704.67,0.05
169,110,147,3,31001.46,0.15
170,111,111,1,3742.68,0.05
171,112,3,1,23359.03,0.05
172,112,44,1,30820.13,0.15
173,113,191,1,25668.57,0.1
174,113,38,2,45352.89,0.0
175,114,195,1,24840.62,0.0
176,114,56,1,44872.49,0.2
177,114,1,3,40696.64,0.15
178,115,75,3,40963.99,0.15
179,116,152,1,2563.86,0.2
180,117,133,3,21014.51,0.2
181,118,146,1,40286.57,0.1
182,118,24,1,29603.93,0.15
183,119,6,1,21794.83,0.15
184,119,149,3,5864.85,0.05
185,120,36,2,39563.63,0.05
186,120,176,2,33751.54,0.2
187,121,198,3,26983.92,0.15
188,121,148,3,21684.4,0.2
189,122,3,3,23359.03,0.1
190,123,22,3,36885.18,0.15
191,124,67,2,21572.02,0.05
192,125,6,3,21794.83,0.2
193,126,176,1,33751.54,0.05
194,127,25,3,38481.68,0.05
195,128,22,1,36885.18,0.1
196,128,25,1,38481.68,0.2
197,128,134,3,20156.16,0.1
198,129,85,1,23127.94,0.2
199,129,129,2,48499.86,0.05
200,130,49,1,26129.96,0.0
201,130,163,2,35870.08,0.05
202,130,67,2,21572.02,0.05
203,130,171,2,9250.53,0.15
204,131,115,2,31652.31,0.15
205,132,156,2,15379.26,0.2
206,132,153,3,42981.95,0.1
207,132,65,2,10714.5,0.15
208,133,184,1,22608.18,0.0
209,134,36,2,39563.63,0.0
210,135,181,3,40139.53,0.0
211,135,198,3,26983.92,0.2
212,136,36,3,39563.63,0.05
213,137,153,2,42981.95,0.0
214,138,101,1,28858.95,0.0
215,139,129,1,48499.86,0.15
216,140,84,1,8374.62,0.15
217,141,92,3,40516.93,0.05
218,142,41,1,7052.31,0.1
219,143,5,1,4803.48,0.2
220,143,3,1,23359.03,0.2
221,143,76,1,12285.91,0.2
222,143,23,3,26378.92,0.1
223,144,30,3,8833.65,0.15
224,145,161,2,42411.41,0.1
225,145,46,3,44085.92,0.0
226,145,162,2,48984.46,0.15
227,146,9,1,11984.47,0.15
228,147,57,2,46927.83,0.15
229,147,15,2,38205.74,0.0
230,148,33,3,12098.86,0.05
231,149,118,1,29041.54,0.0
232,150,191,1,25668.57,0.05
233,151,33,2,12098.86,0.0
234,151,146,2,40286.57,0.0
235,151,189,1,24813.39,0.0
236,151,161,3,42411.41,0.1
237,152,184,2,22608.18,0.15
238,152,96,2,14581.98,0.1
239,152,3,1,23359.03,0.1
240,153,186,1,8577.37,0.1
241,154,37,2,29778.23,0.05
242,154,113,3,27795.82,0.1
243,155,7,1,30948.06,0.2
244,156,61,1,20943.29,0.1
245,157,191,3,25668.57,0.05
246,158,80,2,19270.14,0.05
247,158,126,2,1621.66,0.2
248,158,39,2,11770.94,0.0
249,159,105,3,17777.23,0.05
250,160,82,1,30777.11,0.05
251,161,172,2,17664.71,0.15
252,161,47,1,44066.13,0.2
253,162,108,3,50140.67,0.15
254,163,179,1,36065.25,0.1
255,163,103,1,41454.92,0.2
256,163,40,2,25646.78,0.15
257,164,114,3,41748.5,0.1
258,164,131,2,30688.69,0.15
259,164,70,1,18353.81,0.05
260,165,164,2,42804.34,0.0
261,165,54,1,11768.03,0.15
262,166,28,3,18136.06,0.15
263,166,131,2,30688.69,0.05
264,166,78,1,22980.54,0.05
265,166,129,2,48499.86,0.1
266,167,79,2,18307.97,0.15
267,167,14,3,10524.66,0.15
268,168,29,1,30681.71,0.0
269,169,164,2,42804.34,0.1
270,170,193,1,12185.72,0.1
271,170,92,2,40516.93,0.2
272,171,5,3,4803.48,0.1
273,171,103,2,41454.92,0.0
274,172,26,3,5340.38,0.2
275,172,172,2,17664.71,0.05
276,173,21,3,17242.26,0.05
277,174,1,3,40696.64,0.15
278,175,58,2,4945.79,0.2
279,176,129,3,48499.86,0.0
280,176,46,3,44085.92,0.2
281,177,108,3,50140.67,0.0
282,178,104,2,31127.57,0.0
283,178,67,1,21572.02,0.0
284,178,199,1,7411.65,0.0
285,178,5,1,4803.48,0.1
286,179,169,3,5915.86,0.1
287,180,186,1,8577.37,0.05
