Payment_ID,Order_ID,Payment_Method,Amount,Payment_Status
1,1,UPI,49140.44,Successful
2,2,Credit Card,80429.77,Successful
3,3,Net Banking,52307.59,Successful
4,4,Wallet,99485.72,Successful
5,5,Net Banking,27071.71,Successful
6,6,COD,58180.59,Successful
7,7,UPI,13123.78,Successful
8,8,Credit Card,78510.12,Successful
9,9,Credit Card,95263.1,Successful
10,10,COD,25668.57,Successful
11,11,UPI,75065.25,Successful
12,12,UPI,91919.16,Successful
13,13,Net Banking,56983.27,Successful
14,14,UPI,11069.08,Successful
15,15,Credit Card,98357.18,Successful
16,16,UPI,14126.75,Successful
17,17,Net Banking,29019.26,Successful
18,18,Net Banking,6286.21,Successful
19,19,Credit Card,142739.19,Successful
20,20,Debit Card,15849.98,Successful
21,21,UPI,108836.76,Successful
22,22,Net Banking,24371.44,Successful
23,23,Wallet,77831.58,Successful
24,24,COD,14714.55,Successful
25,25,Debit Card,17665.98,Successful
26,26,Credit Card,7508.6,Successful
27,27,Net Banking,69261.48,Successful
28,28,Net Banking,83416.91,Failed
29,29,Credit Card,88132.26,Successful
30,30,Wallet,259714.08,Successful
31,31,COD,17132.74,Successful
32,32,COD,125438.65,Successful
33,33,Debit Card,146901.34,Successful
34,34,COD,9706.49,Successful
35,35,UPI,102066.94,Successful
36,36,Credit Card,50622.99,Successful
37,37,Credit Card,87807.27,Failed
38,38,Wallet,58244.45,Successful
39,39,COD,121238.6,Failed
40,40,UPI,138910.63,Failed
41,41,COD,66327.87,Successful
42,42,COD,40817.15,Successful
43,43,Net Banking,47911.58,Successful
44,44,Wallet,33036.86,Successful
45,45,Credit Card,36125.58,Successful
46,46,Credit Card,30681.46,Successful
47,47,COD,9019.63,Successful
48,48,Wallet,125432.67,Successful
49,49,Net Banking,61731.92,Successful
50,50,Wallet,151238.72,Successful
51,51,Credit Card,107387.61,Successful
52,52,UPI,135397.23,Successful
53,53,Net Banking,146700.42,Successful
54,54,UPI,119376.91,Successful
55,55,COD,101883.92,Successful
56,56,Net Banking,95729.21,Successful
57,57,UPI,26342.18,Successful
58,58,UPI,78474.09,Successful
59,59,COD,57114.7,Successful
60,60,UPI,16239.22,Successful
61,61,Net Banking,84645.43,Successful
62,62,Credit Card,195509.03,Successful
63,63,UPI,46203.43,Failed
64,64,Credit Card,146608.04,Failed
65,65,Credit Card,133035.18,Successful
66,66,Net Banking,4272.3,Successful
67,67,Debit Card,38592.55,Successful
68,68,Credit Card,8855.9,Successful
69,69,COD,33508.02,Successful
70,70,COD,8259.84,Successful
71,71,UPI,11770.94,Successful
72,72,Credit Card,94196.71,Successful
73,73,Credit Card,29287.39,Successful
74,74,Net Banking,163162.49,Failed
75,75,Net Banking,38442.39,Successful
76,76,Net Banking,12372.58,Successful
77,77,Credit Card,107087.05,Failed
78,78,Wallet,59133.06,Successful
79,79,Wallet,83103.53,Successful
80,80,Credit Card,67266.08,Successful
81,81,COD,50619.88,Successful
82,82,UPI,207372.29,Successful
83,83,Net Banking,72557.84,Successful
84,84,Wallet,16888.37,Successful
85,85,COD,67879.66,Successful
86,86,Credit Card,47309.14,Successful
87,87,Net Banking,35252.9,Successful
88,88,Wallet,36885.18,Successful
89,89,Credit Card,52657.66,Successful
90,90,Debit Card,82512.81,Successful
91,91,UPI,4203.92,Successful
92,92,COD,63637.1,Successful
93,93,Debit Card,85114.3,Failed
94,94,Debit Card,132591.59,Failed
95,95,Net Banking,14508.85,Successful
96,96,Wallet,134284.29,Successful
97,97,COD,84044.44,Successful
98,98,Credit Card,175899.59,Successful
99,99,Debit Card,80978.98,Successful
100,100,COD,18994.42,Failed
101,101,UPI,34686.25,Successful
102,102,Wallet,23950.48,Successful
103,103,COD,180363.66,Successful
104,104,Credit Card,8751.89,Successful
105,105,Debit Card,6283.7,Successful
106,106,COD,59552.14,Successful
107,107,Credit Card,116816.92,Successful
108,108,Net Banking,55239.64,Successful
109,109,Credit Card,76108.31,Successful
110,110,Debit Card,79053.72,Successful
111,111,Debit Card,3555.55,Successful
112,112,Net Banking,48388.19,Failed
113,113,Net Banking,113807.49,Failed
114,114,Credit Card,164515.04,Successful
115,115,UPI,104458.17,Failed
116,116,COD,2051.09,Failed
117,117,Debit Card,50434.82,Successful
118,118,COD,61421.25,Successful
119,119,COD,35240.43,Failed
120,120,UPI,129173.36,Successful
121,121,UPI,120851.56,Successful
122,122,Credit Card,63069.38,Successful
123,123,Net Banking,94057.21,Successful
124,124,Credit Card,40986.84,Successful
125,125,UPI,52307.59,Successful
126,126,COD,32063.96,Successful
127,127,Wallet,109672.79,Failed
128,128,Debit Card,118403.64,Successful
129,129,Debit Card,110652.09,Successful
130,130,UPI,150995.85,Failed
131,131,Net Banking,53808.93,Successful
132,132,COD,158872.73,Successful
133,133,COD,22608.18,Successful
134,134,Debit Card,79127.26,Successful
135,135,UPI,185180.0,Successful
136,136,Net Banking,112756.35,Successful
137,137,UPI,85963.9,Failed
138,138,COD,28858.95,Successful
139,139,UPI,41224.88,Successful
140,140,Wallet,7118.43,Successful
141,141,Credit Card,115473.25,Successful
142,142,Credit Card,6347.08,Successful
143,143,Credit Card,103581.82,Successful
144,144,Debit Card,22525.81,Successful
145,145,Wallet,291871.88,Successful
146,146,Debit Card,10186.8,Successful
147,147,Credit Card,156188.79,Successful
148,148,UPI,34481.75,Successful
149,149,Net Banking,29041.54,Successful
150,150,Debit Card,24385.14,Successful
151,151,Net Banking,244095.06,Successful
152,152,Net Banking,85704.6,Successful
153,153,Credit Card,7719.63,Successful
154,154,UPI,131627.35,Successful
155,155,Wallet,24758.45,Successful
156,156,Wallet,18848.96,Successful
157,157,Debit Card,73155.42,Successful
158,158,Net Banking,62749.8,Failed
159,159,Debit Card,50665.11,Successful
160,160,Net Banking,29238.25,Failed
161,161,Wallet,65282.91,Successful
162,162,Debit Card,127858.71,Successful
163,163,COD,109222.19,Successful
164,164,UPI,182327.84,Successful
165,165,Net Banking,95611.51,Successful
166,166,Net Banking,213686.73,Successful
167,167,Wallet,57961.43,Successful
168,168,Wallet,30681.71,Successful
169,169,UPI,77047.81,Successful
170,170,Net Banking,75794.24,Successful
171,171,Wallet,95879.24,Successful
172,172,Debit Card,46379.86,Successful
173,173,Net Banking,49140.44,Successful
174,174,Wallet,103776.43,Successful
175,175,COD,7913.26,Successful
176,176,Credit Card,251305.79,Successful
177,177,Wallet,150422.01,Successful
178,178,Net Banking,95561.94,Successful
179,179,Net Banking,15972.82,Successful
180,180,Debit Card,8148.5,Failed
181,181,Debit Card,191894.28,Successful
182,182,Debit Card,118019.36,Failed
183,183,UPI,36295.45,Successful
184,184,Credit Card,36065.25,Successful
185,185,Credit Card,44123.41,Successful
186,186,Debit Card,45760.82,Successful
187,187,COD,10704.91,Successful
188,188,Wallet,9322.0,Successful
189,189,Wallet,67603.24,Successful
190,190,Net Banking,153517.89,Successful
191,191,COD,206429.18,Failed
192,192,Wallet,136052.7,Successful
193,193,Wallet,40139.53,Successful
194,194,Wallet,122407.85,Successful
195,195,UPI,163542.2,Successful
196,196,Debit Card,84003.34,Successful
197,197,UPI,149267.4,Successful
198,198,Debit Card,38176.18,Failed
199,199,Wallet,208871.21,Successful
200,200,Net Banking,29083.55,Successful
201,201,Debit Card,159487.42,Failed
202,202,Debit Card,31699.95,Successful
203,203,Debit Card,83214.35,Failed
204,204,Wallet,59782.58,Successful
205,205,COD,68678.48,Successful
206,206,Net Banking,89067.52,Successful
207,207,Credit Card,79699.14,Successful
208,208,Wallet,141275.89,Successful
209,209,Credit Card,20776.07,Successful
210,210,COD,114617.22,Successful
211,211,Debit Card,51117.36,Successful
212,212,UPI,96179.03,Successful
213,213,UPI,31501.02,Successful
214,214,Debit Card,24679.68,Successful
215,215,Wallet,27853.25,Failed
216,216,Debit Card,128745.81,Failed
217,217,Net Banking,22799.81,Successful
218,218,COD,58847.2,Successful
219,219,UPI,27017.87,Failed
220,220,Net Banking,45078.07,Successful
221,221,Net Banking,286517.5,Successful
222,222,COD,175260.18,Successful
223,223,Credit Card,22936.33,Successful
224,224,Wallet,73877.5,Successful
225,225,Net Banking,65465.92,Successful
226,226,COD,34243.47,Successful
227,227,Credit Card,87250.65,Failed
228,228,Net Banking,20886.05,Failed
229,229,Wallet,90292.32,Successful
230,230,UPI,34439.39,Successful
231,231,UPI,29041.54,Failed
232,232,Credit Card,101224.38,Successful
233,233,Net Banking,31198.74,Successful
234,234,Net Banking,100952.06,Successful
235,235,COD,147055.11,Failed
236,236,COD,41478.61,Successful
237,237,Wallet,19497.15,Successful
238,238,Credit Card,86170.49,Successful
239,239,Credit Card,48222.37,Successful
240,240,COD,80713.39,Successful
241,241,Credit Card,109218.6,Successful
242,242,COD,96793.68,Successful
243,243,Debit Card,68063.78,Successful
244,244,Net Banking,47597.98,Successful
245,245,UPI,93226.43,Successful
246,246,UPI,82484.62,Successful
247,247,Debit Card,24822.88,Successful
248,248,Wallet,59016.29,Successful
249,249,Credit Card,80443.78,Successful
250,250,COD,27043.99,Successful
251,251,Debit Card,131518.81,Successful
252,252,Credit Card,128140.92,Successful
253,253,Wallet,88713.57,Successful
254,254,COD,50251.89,Failed
255,255,COD,59046.8,Successful
256,256,COD,84186.97,Successful
257,257,Debit Card,1378.41,Failed
258,258,Credit Card,38568.14,Successful
259,259,Net Banking,51031.02,Successful
260,260,COD,19228.31,Successful
261,261,COD,63278.11,Successful
262,262,COD,25924.81,Failed
263,263,Net Banking,112368.63,Failed
264,264,UPI,230387.74,Successful
265,265,Net Banking,26305.85,Successful
266,266,Credit Card,23598.59,Successful
267,267,UPI,51965.35,Successful
268,268,Debit Card,73071.53,Failed
269,269,Wallet,26137.39,Successful
270,270,COD,27588.24,Successful
271,271,Wallet,31348.53,Successful
272,272,Debit Card,10516.69,Successful
273,273,Wallet,42471.12,Successful
274,274,Debit Card,20552.88,Successful
275,275,Debit Card,47366.15,Successful
276,276,UPI,162847.83,Successful
277,277,Debit Card,68809.0,Successful
278,278,Debit Card,9543.83,Successful
279,279,Net Banking,44943.68,Successful
280,280,UPI,137708.83,Successful
281,281,Debit Card,128142.32,Successful
282,282,Wallet,67624.9,Successful
283,283,Credit Card,26765.49,Failed
284,284,Debit Card,55399.7,Successful
285,285,Net Banking,146607.29,Successful
286,286,UPI,30777.61,Successful
287,287,Credit Card,72261.07,Successful
288,288,Debit Card,83809.51,Successful
289,289,UPI,54229.76,Successful
290,290,COD,45902.94,Successful
291,291,COD,46164.2,Successful
292,292,UPI,18994.42,Successful
293,293,Credit Card,156879.67,Failed
294,294,COD,168730.43,Successful
295,295,COD,51918.43,Successful
296,296,Wallet,32009.88,Successful
297,297,COD,79891.6,Successful
298,298,Debit Card,111952.32,Successful
299,299,Net Banking,36295.45,Successful
300,300,Wallet,85159.46,Successful
301,301,UPI,46466.46,Successful
302,302,COD,7052.31,Successful
303,303,COD,85963.9,Successful
304,304,COD,129417.31,Successful
305,305,Debit Card,30069.69,Successful
306,306,Net Banking,12394.68,Successful
307,307,Net Banking,61816.88,Successful
308,308,Debit Card,23588.85,Successful
309,309,Net Banking,39548.82,Successful
310,310,UPI,159924.03,Successful
311,311,Net Banking,44328.32,Failed
312,312,UPI,40139.53,Successful
313,313,Credit Card,61588.69,Successful
314,314,Wallet,73115.19,Successful
315,315,COD,128837.61,Successful
316,316,Net Banking,79154.73,Successful
317,317,Credit Card,101720.16,Successful
318,318,Net Banking,283973.56,Successful
319,319,COD,136005.81,Successful
320,320,UPI,26222.16,Successful
321,321,Credit Card,103187.46,Successful
322,322,Net Banking,51458.43,Successful
323,323,Wallet,200025.66,Successful
324,324,COD,191791.55,Successful
325,325,UPI,104813.49,Successful
326,326,Net Banking,21028.14,Successful
327,327,Debit Card,8867.7,Successful
328,328,Net Banking,80441.69,Successful
329,329,Debit Card,51849.61,Successful
330,330,Debit Card,87823.26,Successful
331,331,Credit Card,62888.07,Successful
332,332,COD,11939.03,Successful
333,333,Debit Card,115973.38,Successful
334,334,UPI,29279.12,Successful
335,335,Net Banking,195419.04,Successful
336,336,COD,41852.5,Successful
337,337,UPI,73253.95,Successful
338,338,Wallet,23463.53,Failed
339,339,COD,149826.12,Successful
340,340,Debit Card,31255.38,Successful
341,341,Credit Card,19872.5,Successful
342,342,UPI,20903.37,Successful
343,343,COD,85148.61,Successful
344,344,UPI,262283.79,Successful
345,345,Net Banking,5324.27,Successful
346,346,Debit Card,35236.68,Successful
347,347,Net Banking,92873.9,Successful
348,348,COD,17379.41,Failed
349,349,Net Banking,58902.77,Successful
350,350,UPI,27041.46,Successful
351,351,UPI,103634.18,Failed
352,352,Credit Card,174113.46,Successful
353,353,Debit Card,12926.58,Successful
354,354,Debit Card,47720.22,Successful
355,355,Debit Card,91521.64,Successful
356,356,UPI,234630.83,Successful
357,357,Wallet,42619.57,Successful
358,358,COD,60974.25,Successful
359,359,Wallet,42635.75,Successful
360,360,Net Banking,42206.27,Successful
361,361,Net Banking,74617.85,Successful
362,362,UPI,84470.09,Failed
363,363,Credit Card,7666.69,Successful
364,364,Wallet,15333.37,Successful
365,365,COD,121548.98,Successful
366,366,Credit Card,179755.08,Successful
367,367,Credit Card,61450.37,Successful
368,368,Debit Card,8855.9,Successful
369,369,COD,38277.04,Successful
370,370,Credit Card,33508.02,Successful
371,371,COD,87299.75,Successful
372,372,Debit Card,9019.63,Successful
373,373,Net Banking,17966.84,Successful
374,374,Wallet,7128.37,Successful
375,375,Credit Card,27501.72,Successful
376,376,Wallet,4135.23,Successful
377,377,UPI,146362.6,Successful
