Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price
1,Smartphone Model 1,Electronics,HomeEase,30106.77,40696.64
2,Smartphone Model 2,Electronics,UrbanCart,28954.02,40309.91
3,Smartphone Model 3,Electronics,Nova,16734.04,23359.03
4,Smartphone Model 4,Electronics,Nova,30739.68,41885.03
5,Smartphone Model 5,Electronics,StyleHub,3397.67,4803.48
6,Smartphone Model 6,Electronics,GlowCare,18944.12,21794.83
7,Smartphone Model 7,Electronics,TechPro,22775.73,30948.06
8,Smartphone Model 8,Electronics,HomeEase,30637.63,43782.92
9,Smartphone Model 9,Electronics,HomeEase,8147.6,11984.47
10,Smartphone Model 10,Electronics,GlowCare,12365.55,18200.22
11,Laptop Model 1,Electronics,TechPro,20227.81,26704.67
12,Laptop Model 2,Electronics,Nova,16778.37,20855.6
13,Laptop Model 3,Electronics,HomeEase,10021.84,15039.84
14,Laptop Model 4,Electronics,GlowCare,9134.5,10524.66
15,Laptop Model 5,Electronics,Nova,27661.37,38205.74
16,Laptop Model 6,Electronics,UrbanCart,18263.7,23743.03
17,Laptop Model 7,Electronics,TechPro,24118.67,30784.12
18,Laptop Model 8,Electronics,StyleHub,3864.43,5102.7
19,Laptop Model 9,Electronics,HomeEase,8989.1,13411.65
20,Laptop Model 10,Electronics,GlowCare,19828.76,27656.21
21,Headphones Model 1,Electronics,StyleHub,14001.28,17242.26
22,Headphones Model 2,Electronics,TechPro,27465.03,36885.18
23,Headphones Model 3,Electronics,TechPro,19634.42,26378.92
24,Headphones Model 4,Electronics,HomeEase,20281.14,29603.93
25,Headphones Model 5,Electronics,GlowCare,25792.02,38481.68
26,Headphones Model 6,Electronics,GlowCare,4300.14,5340.38
27,Headphones Model 7,Electronics,StyleHub,33231.19,39548.82
28,Headphones Model 8,Electronics,StyleHub,14109.55,18136.06
29,Headphones Model 9,Electronics,Nova,21548.78,30681.71
30,Headphones Model 10,Electronics,Nova,5751.72,8833.65
31,Smartwatch Model 1,Electronics,HomeEase,28182.27,41690.09
32,Smartwatch Model 2,Electronics,Nova,32416.28,42924.05
33,Smartwatch Model 3,Electronics,StyleHub,9318.76,12098.86
34,Smartwatch Model 4,Electronics,HomeEase,1465.77,1910.97
35,Smartwatch Model 5,Electronics,GlowCare,21546.7,29269.09
36,Smartwatch Model 6,Electronics,UrbanCart,33729.01,39563.63
37,Smartwatch Model 7,Electronics,UrbanCart,22464.15,29778.23
38,Smartwatch Model 8,Electronics,StyleHub,29792.28,45352.89
39,Smartwatch Model 9,Electronics,StyleHub,10117.33,11770.94
40,Smartwatch Model 10,Electronics,StyleHub,17942.59,25646.78
41,Mixer Model 1,Home & Kitchen,UrbanCart,6056.48,7052.31
42,Mixer Model 2,Home & Kitchen,Nova,22977.42,35391.16
43,Mixer Model 3,Home & Kitchen,TechPro,34889.08,51003.27
44,Mixer Model 4,Home & Kitchen,UrbanCart,23487.72,30820.13
45,Mixer Model 5,Home & Kitchen,Nova,18193.33,26285.18
46,Mixer Model 6,Home & Kitchen,GlowCare,32183.33,44085.92
47,Mixer Model 7,Home & Kitchen,TechPro,29067.3,44066.13
48,Mixer Model 8,Home & Kitchen,UrbanCart,12259.51,18097.56
49,Mixer Model 9,Home & Kitchen,HomeEase,21281.76,26129.96
50,Mixer Model 10,Home & Kitchen,HomeEase,20185.5,25321.56
51,Air Fryer Model 1,Home & Kitchen,StyleHub,17792.4,24437.01
52,Air Fryer Model 2,Home & Kitchen,StyleHub,10404.68,15906.74
53,Air Fryer Model 3,Home & Kitchen,StyleHub,33491.32,50251.89
54,Air Fryer Model 4,Home & Kitchen,HomeEase,8867.43,11768.03
55,Air Fryer Model 5,Home & Kitchen,TechPro,19776.43,28833.78
56,Air Fryer Model 6,Home & Kitchen,HomeEase,33649.17,44872.49
57,Air Fryer Model 7,Home & Kitchen,HomeEase,31393.86,46927.83
58,Air Fryer Model 8,Home & Kitchen,GlowCare,4201.95,4945.79
59,Air Fryer Model 9,Home & Kitchen,GlowCare,27634.66,34215.94
60,Air Fryer Model 10,Home & Kitchen,TechPro,8163.07,10418.46
61,Cookware Model 1,Home & Kitchen,TechPro,18150.17,20943.29
62,Cookware Model 2,Home & Kitchen,GlowCare,8801.78,10449.51
63,Cookware Model 3,Home & Kitchen,StyleHub,26245.27,33772.34
64,Cookware Model 4,Home & Kitchen,TechPro,32609.16,43716.56
65,Cookware Model 5,Home & Kitchen,UrbanCart,7767.03,10714.5
66,Cookware Model 6,Home & Kitchen,UrbanCart,33157.07,47190.57
67,Cookware Model 7,Home & Kitchen,GlowCare,17540.13,21572.02
68,Cookware Model 8,Home & Kitchen,UrbanCart,8585.67,10784.99
69,Cookware Model 9,Home & Kitchen,StyleHub,7216.41,9019.63
70,Cookware Model 10,Home & Kitchen,Nova,12557.55,18353.81
71,Vacuum Cleaner Model 1,Home & Kitchen,GlowCare,32218.56,45760.82
72,Vacuum Cleaner Model 2,Home & Kitchen,StyleHub,17319.37,19963.16
73,Vacuum Cleaner Model 3,Home & Kitchen,TechPro,33536.06,49942.04
74,Vacuum Cleaner Model 4,Home & Kitchen,StyleHub,21780.26,29336.62
75,Vacuum Cleaner Model 5,Home & Kitchen,StyleHub,30426.59,40963.99
76,Vacuum Cleaner Model 6,Home & Kitchen,StyleHub,9917.29,12285.91
77,Vacuum Cleaner Model 7,Home & Kitchen,HomeEase,4619.37,6283.7
78,Vacuum Cleaner Model 8,Home & Kitchen,StyleHub,16819.45,22980.54
