Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason
1,19,177,2024-12-02,Size Issue
2,23,75,2024-09-26,Quality Issue
3,29,47,2025-07-29,Quality Issue
4,41,103,2025-11-05,Wrong Product
5,79,11,2024-08-07,Changed Mind
6,85,78,2025-02-10,Quality Issue
7,88,22,2025-01-31,Size Issue
8,95,28,2024-06-07,Changed Mind
9,96,82,2024-06-02,Quality Issue
10,110,147,2024-01-23,Damaged Product
11,152,3,2024-11-20,Wrong Product
12,153,186,2024-05-03,Size Issue
13,163,179,2025-08-18,Size Issue
14,178,104,2025-08-22,Size Issue
15,187,122,2025-01-14,Size Issue
16,188,177,2024-02-21,Damaged Product
17,200,59,2025-06-21,Quality Issue
18,222,32,2025-07-06,Wrong Product
19,226,164,2025-05-06,Damaged Product
20,240,115,2024-03-31,Damaged Product
21,243,136,2024-07-09,Damaged Product
22,273,84,2024-10-16,Wrong Product
23,274,141,2025-01-22,Changed Mind
24,297,33,2024-02-10,Quality Issue
25,298,157,2024-06-04,Damaged Product
26,309,27,2025-07-08,Damaged Product
27,322,54,2025-11-15,Damaged Product
28,323,91,2024-05-23,Wrong Product
29,327,124,2025-05-03,Changed Mind
30,331,187,2025-02-20,Damaged Product
31,346,103,2024-03-03,Quality Issue
32,386,10,2024-07-27,Changed Mind
33,410,171,2024-06-26,Changed Mind
34,411,61,2024-06-28,Damaged Product
35,416,174,2024-09-03,Changed Mind
36,423,115,2024-09-15,Wrong Product
37,434,72,2024-03-16,Damaged Product
38,440,3,2025-05-20,Wrong Product
39,453,45,2024-08-09,Changed Mind
40,454,100,2024-11-07,Changed Mind
41,465,33,2024-07-03,Damaged Product
42,474,191,2024-02-03,Size Issue
43,475,3,2024-06-10,Changed Mind
44,494,192,2025-04-07,Changed Mind
45,498,62,2024-11-19,Quality Issue
46,499,152,2024-12-21,Wrong Product
47,511,139,2024-10-23,Damaged Product
48,514,15,2025-12-19,Changed Mind
49,533,14,2024-05-14,Damaged Product
50,539,35,2024-08-11,Damaged Product
51,545,70,2024-04-16,Damaged Product
52,576,11,2025-09-22,Changed Mind
53,616,128,2024-03-01,Damaged Product
54,627,82,2025-05-11,Quality Issue
55,628,72,2025-09-26,Changed Mind
56,688,141,2025-01-20,Quality Issue
57,696,10,2024-02-19,Size Issue
58,703,56,2024-03-09,Wrong Product
59,704,175,2025-01-16,Size Issue
60,712,114,2024-12-02,Wrong Product
61,727,120,2024-08-18,Size Issue
62,736,125,2025-04-16,Damaged Product
63,739,198,2024-03-31,Wrong Product
64,766,133,2024-10-18,Quality Issue
65,782,25,2026-01-07,Changed Mind
66,786,133,2026-01-07,Size Issue
67,832,152,2024-02-23,Damaged Product
68,833,72,2025-08-25,Changed Mind
69,834,163,2025-11-12,Size Issue
70,838,106,2025-07-07,Quality Issue
71,845,176,2024-05-17,Changed Mind
72,853,142,2024-03-06,Quality Issue
73,868,39,2025-04-07,Damaged Product
74,889,121,2025-07-25,Damaged Product
75,897,155,2025-07-06,Size Issue
76,912,62,2025-06-14,Wrong Product
77,921,114,2024-09-18,Quality Issue
78,926,199,2025-12-16,Damaged Product
79,932,28,2025-09-28,Damaged Product
80,937,57,2024-05-30,Size Issue
81,950,159,2024-09-01,Changed Mind
82,960,188,2025-12-11,Wrong Product
83,963,27,2025-10-29,Wrong Product
84,997,51,2025-04-02,Quality Issue
85,1006,162,2025-12-20,Wrong Product
86,1017,182,2025-01-15,Damaged Product
87,1023,166,2024-05-09,Quality Issue
88,1025,11,2025-11-16,Wrong Product
89,1044,69,2025-08-21,Size Issue
90,1060,124,2025-01-05,Quality Issue
91,1069,93,2024-05-29,Changed Mind
92,1074,90,2024-06-02,Size Issue
93,1088,186,2024-03-31,Wrong Product
94,1091,30,2025-09-24,Wrong Product
95,1103,52,2025-02-14,Changed Mind
96,1107,123,2025-07-29,Size Issue
97,1128,164,2025-02-07,Changed Mind
98,1135,47,2025-10-16,Size Issue
99,1142,66,2025-09-21,Quality Issue
100,1145,110,2025-09-16,Changed Mind
101,1146,91,2025-02-06,Wrong Product
102,1148,168,2025-12-25,Size Issue
103,1162,174,2024-03-10,Quality Issue
104,1173,21,2025-05-21,Damaged Product
105,1186,72,2024-11-28,Changed Mind
106,1187,24,2025-03-03,Quality Issue
107,1193,184,2025-05-14,Changed Mind
108,1197,22,2025-09-25,Changed Mind
109,1200,173,2025-12-29,Changed Mind
110,1215,15,2024-07-22,Damaged Product
111,1233,21,2025-07-07,Damaged Product
112,1236,83,2024-07-22,Damaged Product
113,1250,53,2024-02-05,Damaged Product
114,1252,200,2025-11-30,Quality Issue
115,1272,123,2024-11-22,Wrong Product
116,1275,92,2025-01-28,Size Issue
117,1279,25,2025-11-13,Changed Mind
118,1290,12,2024-06-07,Changed Mind
119,1291,42,2025-12-08,Size Issue
120,1318,80,2024-07-07,Damaged Product
121,1325,139,2024-11-17,Changed Mind
122,1335,160,2024-06-22,Damaged Product
123,1336,97,2025-01-29,Quality Issue
124,1342,199,2024-09-04,Wrong Product
125,1357,149,2024-10-26,Wrong Product
126,1363,6,2025-06-02,Changed Mind
127,1364,170,2025-12-08,Damaged Product
128,1369,35,2024-12-31,Wrong Product
129,1390,92,2024-10-17,Quality Issue
130,1396,8,2025-05-17,Wrong Product
131,1403,96,2025-01-03,Damaged Product
132,1411,192,2024-07-16,Quality Issue
133,1434,128,2024-04-18,Size Issue
134,1438,108,2024-09-23,Damaged Product
135,1456,105,2024-02-29,Wrong Product
136,1459,26,2024-12-13,Damaged Product
137,1464,37,2025-07-13,Size Issue
138,1496,187,2024-08-22,Quality Issue
139,1517,145,2024-01-10,Quality Issue
140,1524,130,2024-02-14,Damaged Product
141,1538,123,2024-09-06,Wrong Product
142,1554,119,2024-11-23,Damaged Product
143,1565,40,2025-06-16,Changed Mind
144,1566,199,2025-11-15,Changed Mind
145,1570,66,2025-09-26,Wrong Product
146,1578,147,2025-11-13,Quality Issue
147,1598,70,2025-02-02,Changed Mind
148,1616,73,2024-01-17,Size Issue
149,1621,28,2024-08-22,Wrong Product
150,1627,96,2024-12-21,Damaged Product
151,1651,72,2025-10-25,Damaged Product
152,1656,88,2025-08-08,Damaged Product
153,1659,42,2026-01-11,Wrong Product
154,1676,168,2024-02-16,Wrong Product
155,1720,94,2024-11-13,Damaged Product
156,1726,27,2025-01-21,Changed Mind
157,1735,51,2025-11-22,Damaged Product
158,1746,57,2025-01-15,Damaged Product
159,1749,85,2025-12-19,Wrong Product
160,1774,89,2025-05-01,Changed Mind
161,1780,34,2025-08-23,Quality Issue
162,1797,54,2025-09-09,Size Issue
163,1803,1,2024-06-20,Size Issue
164,1811,132,2025-08-16,Damaged Product
165,1812,18,2024-10-10,Quality Issue
166,1826,151,2025-05-12,Wrong Product
167,1903,196,2024-09-20,Damaged Product
168,1912,179,2024-02-18,Quality Issue
169,1918,102,2024-09-05,Quality Issue
170,1931,174,2025-11-19,Wrong Product
171,1943,155,2024-06-03,Changed Mind
172,1979,94,2024-09-09,Size Issue
173,1987,107,2025-01-09,Damaged Product
174,1990,65,2024-02-29,Changed Mind
175,1996,82,2025-11-02,Wrong Product
176,2016,136,2025-07-29,Changed Mind
177,2073,87,2024-11-06,Changed Mind
178,2107,37,2024-04-28,Damaged Product
179,2111,1,2025-02-03,Changed Mind
180,2152,17,2025-10-15,Damaged Product
181,2168,18,2025-09-25,Changed Mind
182,2212,72,2024-08-07,Size Issue
183,2239,96,2025-09-16,Size Issue
184,2294,108,2024-04-03,Quality Issue
185,2297,9,2024-04-08,Changed Mind
186,2317,8,2025-11-26,Quality Issue
187,2318,106,2025-05-31,Damaged Product
188,2319,199,2024-08-12,Quality Issue
189,2323,8,2025-03-23,Damaged Product
190,2328,177,2024-06-20,Wrong Product
191,2335,191,2025-04-10,Quality Issue
192,2358,198,2025-09-20,Quality Issue
193,2386,39,2024-02-04,Size Issue
194,2412,53,2025-10-04,Wrong Product
195,2430,107,2024-10-10,Wrong Product
