Review_ID,Order_ID,Customer_ID,Product_ID,Rating,Review_Date
1,2687,182,85,5,2024-04-28
2,737,752,33,3,2025-04-21
3,4367,869,75,4,2024-02-22
4,1082,28,152,3,2024-01-03
5,569,712,118,5,2025-02-09
6,1312,213,35,2,2025-03-08
7,2859,607,127,2,2025-07-30
8,4104,117,165,2,2024-06-03
9,670,941,97,3,2025-08-04
10,2731,420,112,3,2024-07-26
11,1015,76,56,4,2025-03-12
12,3972,87,75,2,2024-05-01
13,2122,346,176,1,2025-08-01
14,2889,69,51,5,2025-01-03
15,3278,717,108,2,2024-07-04
16,421,247,168,4,2024-05-12
17,524,324,72,4,2024-05-19
18,1466,705,146,1,2025-03-18
19,4579,242,28,4,2025-04-19
20,2151,934,148,3,2024-10-07
21,3753,291,177,5,2025-10-25
22,3929,292,127,1,2025-01-07
23,4774,378,60,5,2025-05-24
24,963,438,27,2,2024-01-17
25,4551,233,131,2,2025-04-12
26,4683,879,90,3,2025-11-13
27,872,121,100,2,2025-04-28
28,153,51,186,3,2025-01-18
29,3174,567,64,1,2025-06-02
30,1583,699,62,5,2024-07-27
31,2453,560,112,1,2025-02-14
32,3229,158,111,5,2024-05-22
33,4097,519,74,5,2024-09-23
34,1307,731,157,5,2024-05-05
35,619,280,135,4,2024-02-22
36,2667,748,153,3,2025-08-15
37,4066,43,89,4,2025-05-14
38,3367,806,174,2,2025-08-20
39,4277,498,180,3,2024-05-18
40,699,88,112,4,2025-09-26
41,3228,580,167,1,2025-08-21
42,2075,181,119,1,2025-03-15
43,2790,396,46,2,2025-04-07
44,4893,762,33,5,2025-06-19
45,3628,128,42,1,2024-02-06
46,2950,42,144,3,2025-04-03
47,2313,953,45,2,2024-01-02
48,3191,855,75,2,2025-12-10
49,2896,706,129,5,2025-07-04
50,3896,532,74,5,2025-12-28
51,2444,970,199,2,2024-08-06
52,2294,743,148,5,2025-03-29
53,3827,981,83,5,2025-05-14
54,151,875,146,1,2025-07-28
55,4949,308,4,4,2025-05-02
56,1801,812,90,1,2024-03-11
57,359,122,122,3,2025-11-14
58,4927,105,134,2,2024-11-03
59,1175,452,196,2,2024-09-30
60,556,981,96,3,2024-09-11
61,2301,384,60,1,2024-02-15
62,3699,322,56,2,2025-09-27
63,2983,763,169,5,2024-08-10
64,3542,265,18,2,2024-04-06
65,196,797,195,1,2024-08-07
66,4135,288,37,4,2025-04-28
67,4038,88,63,3,2024-02-06
68,2728,945,124,1,2025-08-25
69,2009,847,34,2,2024-12-14
70,2483,41,192,3,2024-05-30
71,4359,371,67,4,2024-01-25
72,1916,37,2,5,2025-06-11
73,4012,610,13,2,2024-04-20
74,4519,696,119,5,2024-05-04
75,3093,383,168,5,2024-03-03
76,916,987,40,2,2024-10-12
77,713,512,199,2,2024-01-31
78,2681,542,126,4,2024-04-17
79,3423,295,35,3,2025-07-08
80,2045,41,49,5,2025-10-19
81,1412,606,20,2,2024-02-12
82,1023,807,166,3,2024-11-10
83,4034,12,94,3,2024-01-26
84,3916,947,5,5,2024-05-15
85,718,674,77,4,2025-10-14
86,4862,316,144,3,2025-12-03
87,3571,539,31,5,2025-07-11
88,1865,538,163,4,2025-06-14
89,1596,559,165,3,2025-07-21
90,4742,913,23,1,2025-09-01
91,4258,690,122,4,2024-10-13
92,1997,982,158,5,2025-07-18
93,638,447,137,3,2025-03-02
94,3138,737,121,4,2024-09-21
95,989,635,57,5,2024-06-08
96,3996,577,64,2,2024-07-13
97,4162,504,164,2,2025-07-04
98,2148,161,3,4,2024-09-17
99,4462,173,3,2,2024-12-08
100,4025,986,56,1,2024-11-06
101,2076,356,45,4,2024-10-12
102,2017,761,169,4,2024-04-05
103,1669,290,105,4,2024-10-26
104,3660,445,121,2,2025-01-31
105,3781,924,190,3,2025-07-11
106,4076,916,49,5,2024-11-01
107,3791,662,168,1,2025-02-21
108,795,447,154,4,2024-03-27
109,1328,77,200,2,2024-10-03
110,303,840,153,3,2024-01-27
111,3537,798,18,1,2024-03-12
112,4903,515,24,4,2025-11-15
113,3581,627,191,1,2024-04-12
114,2170,861,120,2,2025-10-14
115,3199,363,41,3,2025-12-21
116,1115,335,141,1,2025-07-21
117,1651,962,72,1,2024-04-13
118,2002,590,79,4,2024-02-24
119,2780,409,100,4,2025-02-10
120,276,595,139,2,2024-04-13
121,715,780,164,1,2025-08-21
122,1436,780,173,4,2025-09-17
123,976,485,39,2,2025-02-22
124,2112,746,178,2,2024-04-04
125,2334,414,122,4,2025-07-28
126,1739,877,13,3,2025-04-25
127,4769,190,155,2,2024-01-20
128,4411,792,34,2,2024-02-18
129,3905,585,63,4,2024-07-18
130,4847,667,188,1,2024-11-15
131,61,46,16,1,2024-02-05
132,4844,542,99,5,2024-05-13
133,3048,98,128,3,2024-09-20
134,64,840,53,2,2024-07-05
135,2145,6,20,5,2024-12-31
136,418,46,97,3,2024-01-05
137,1549,217,93,3,2025-03-22
138,3764,736,170,5,2025-12-19
139,4194,858,42,4,2024-10-19
140,3720,199,54,2,2025-08-09
141,1149,683,56,4,2024-05-06
142,3141,243,83,4,2024-06-26
143,2175,898,167,3,2025-04-13
144,2513,948,180,2,2025-05-18
145,1666,282,7,2,2024-03-10
146,2457,220,12,5,2025-07-22
147,1033,815,22,5,2025-05-17
148,3084,177,81,1,2025-03-20
149,4963,218,195,1,2024-11-12
150,4194,858,173,3,2025-02-02
151,1146,714,108,2,2024-01-18
152,1289,371,135,2,2025-03-29
153,1456,810,105,3,2024-10-21
154,2571,61,32,3,2025-05-01
155,1702,12,143,1,2025-08-13
156,2765,559,62,5,2024-03-19
157,4426,201,29,4,2025-11-27
158,3736,403,90,4,2024-07-23
159,3957,656,195,3,2025-12-16
160,2147,97,117,2,2025-10-03
161,626,884,22,1,2024-09-17
162,1598,616,70,2,2024-04-03
163,1321,456,106,1,2024-10-12
164,1072,771,191,1,2025-04-19
165,2101,838,103,5,2024-03-20
166,3536,633,22,2,2025-03-23
167,4342,449,184,4,2024-11-15
168,3412,713,159,5,2024-05-15
169,3064,136,81,5,2024-01-11
170,3464,713,109,4,2024-02-28
171,3495,547,68,2,2025-06-14
172,4028,841,30,2,2025-07-31
173,2686,935,197,3,2024-06-26
174,4545,932,192,4,2024-04-27
175,2901,592,96,2,2024-09-28
176,832,403,152,2,2024-10-31
177,2555,963,197,4,2024-02-28
178,4044,687,96,4,2025-11-14
179,1782,774,90,3,2025-11-12
180,4807,447,130,5,2024-05-16
181,905,188,20,2,2024-05-10
182,3315,774,80,3,2025-12-12
183,2030,691,187,4,2024-04-09
184,4119,373,97,4,2024-10-24
185,4000,514,35,1,2024-01-29
186,2577,455,78,3,2025-05-28
187,689,121,135,5,2025-01-03
188,969,402,101,2,2024-09-26
189,3132,144,146,1,2024-09-29
190,2041,296,10,2,2025-10-14
191,1008,580,39,3,2025-12-21
192,629,745,193,3,2025-03-15
193,1209,793,153,3,2025-02-22
194,866,413,29,4,2024-08-11
195,2977,985,117,5,2025-05-07
196,2576,127,8,1,2025-05-27
197,3293,215,94,1,2024-04-02
198,3587,858,110,2,2024-02-15
199,3407,688,90,4,2024-07-31
200,1442,281,134,2,2024-12-28
201,2694,628,11,4,2024-12-31
202,324,89,134,5,2025-09-19
203,663,243,74,4,2025-09-26
204,1665,805,130,3,2025-09-03
205,2126,983,153,4,2024-11-19
206,3419,501,107,4,2025-04-16
207,3901,285,142,3,2025-03-04
208,927,863,3,3,2025-01-22
209,1768,176,64,4,2025-05-22
210,1995,34,44,4,2025-02-10
211,1374,53,97,4,2024-09-18
212,4257,617,108,5,2024-04-05
213,4308,156,57,2,2024-11-05
214,2842,892,10,5,2024-04-15
215,620,487,15,4,2025-08-21
216,1596,559,150,3,2024-01-13
217,3498,552,173,2,2024-06-19
218,871,992,153,3,2024-05-25
219,2694,628,144,2,2024-04-23
220,1646,158,78,4,2025-12-19
221,819,726,85,3,2024-12-27
222,4053,825,102,2,2025-12-19
223,4218,604,174,2,2025-11-26
224,47,93,69,3,2024-10-20
225,459,352,188,2,2024-05-02
226,1924,121,65,3,2025-02-12
227,4774,378,48,1,2024-01-14
228,3288,130,123,1,2024-10-17
229,848,164,56,5,2025-06-10
230,3595,127,50,2,2024-11-18
231,166,869,78,5,2024-02-13
232,4143,919,67,1,2024-12-08
233,1061,842,183,5,2024-04-12
234,2290,354,160,5,2025-07-28
235,1815,364,54,2,2025-03-08
236,2680,383,64,3,2024-03-18
237,2059,650,170,3,2025-02-13
238,530,815,4,5,2024-02-28
239,501,655,190,3,2025-09-01
240,1774,922,89,1,2025-07-03
241,3654,334,170,2,2025-05-07
242,1930,185,171,4,2024-12-27
243,144,876,30,2,2025-09-26
244,197,26,8,4,2025-08-13
245,4105,700,104,1,2024-02-07
246,4058,273,109,3,2025-04-14
247,2646,848,21,5,2024-08-09
248,4750,767,50,3,2024-04-03
249,966,478,180,1,2025-07-09
250,3788,801,49,1,2025-05-24
251,3488,977,40,3,2024-02-06
252,3897,449,15,5,2024-12-05
253,1551,952,106,1,2025-11-04
254,2840,821,24,2,2024-11-27
255,2150,951,35,3,2025-01-16
256,3410,224,163,1,2024-08-02
257,16,905,119,4,2024-10-08
258,4210,118,134,1,2024-05-08
259,948,727,12,5,2024-11-01
260,4248,903,139,2,2024-06-01
261,4118,810,107,1,2025-11-12
262,3647,795,27,5,2024-12-06
263,4687,517,90,5,2024-11-25
264,454,24,100,1,2024-07-14
265,4412,784,141,1,2024-05-28
266,297,883,60,1,2025-01-03
267,3105,893,91,3,2025-08-10
