Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Shipment_Status
1,1,2025-02-03,2025-02-06,Delivered
2,2,2025-12-21,2025-12-24,Delivered
3,3,2024-08-17,2024-08-22,Delivered
4,4,2024-08-03,2024-08-08,Delivered
5,5,2024-03-23,2024-03-28,Delivered
6,6,2025-01-05,2025-01-12,Delivered
7,7,2025-03-02,2025-03-06,Delivered
8,8,2025-09-25,2025-09-27,Delivered
9,9,2024-03-16,2024-03-21,Delivered
10,10,2025-06-16,2025-06-21,Delivered
11,11,2025-07-01,2025-07-05,Delivered
12,12,2025-11-06,2025-11-11,Delivered
13,13,2024-07-03,2024-07-08,Delivered
14,14,2024-04-20,2024-04-22,Delivered
15,15,2025-04-17,2025-04-22,Delivered
16,16,2024-04-18,2024-04-25,Delivered
17,17,2025-02-17,2025-02-22,Delivered
18,18,2025-07-03,2025-07-08,Delivered
19,19,2024-11-21,2024-11-25,Returned
20,20,2025-01-16,2025-01-25,Delivered
21,21,2024-11-30,2024-12-03,Delivered
22,22,2024-08-10,2024-08-15,Delivered
23,23,2024-09-20,2024-09-29,Returned
24,24,2025-02-13,2025-02-17,Delivered
25,25,2025-09-04,2025-09-07,Delivered
26,26,2024-11-06,2024-11-15,Delivered
27,27,2024-08-08,2024-08-13,Delivered
28,28,,,Cancelled
29,29,2025-07-26,2025-07-28,Returned
30,30,2024-04-07,2024-04-10,Delivered
31,31,2024-05-23,2024-05-27,Delivered
32,32,2024-09-14,2024-09-20,Delivered
33,33,2024-04-06,2024-04-10,Delivered
34,34,2024-08-12,2024-08-19,Delivered
35,35,2025-05-11,2025-05-14,Delivered
36,36,2025-12-08,2025-12-11,Delivered
37,37,2024-04-09,2024-04-11,Delivered
38,38,2025-08-16,2025-08-22,Delivered
39,39,,,Cancelled
40,40,,,Cancelled
41,41,2025-11-02,2025-11-07,Returned
42,42,2025-10-11,2025-10-20,Delivered
43,43,2024-02-15,2024-02-19,Delivered
44,44,2024-12-03,2024-12-07,Delivered
45,45,2024-02-24,2024-03-01,Delivered
46,46,2025-04-03,2025-04-06,Delivered
47,47,2024-08-16,2024-08-20,Delivered
48,48,2024-06-01,2024-06-03,Delivered
49,49,2025-08-11,2025-08-16,Delivered
50,50,2024-09-27,2024-10-03,Delivered
51,51,2025-12-16,2025-12-20,Delivered
52,52,2025-07-29,2025-08-01,Delivered
53,53,2025-08-10,2025-08-13,Delivered
54,54,2025-06-23,2025-06-30,Delivered
55,55,2025-03-19,2025-03-23,Delivered
56,56,2024-04-03,2024-04-08,Delivered
57,57,2025-01-10,2025-01-12,Delivered
58,58,2025-09-02,2025-09-06,Delivered
